Category,Count,Acreage,State,Average of Very Unhealthy Days,Average of Hazardous Days,Average of Max AQI,Average of 90th Percentile AQI,Average of Days CO,Average of Median AQI,Average of Days NO2,Average of Days Ozone,Average of Days SO2,Average of Days PM2.5,Average of Days PM10,Average of Good Days,Average of Moderate Days,Average of Unhealthy for Sensitive Groups Days,Average of Unhealthy Days,Commercial,Electric Power,Residential,Industrial,Transportation,Total
 Corn,36312247,8075649.3,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Sorghum,8267,1838.5,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Soybeans,34858725,7752393.8,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Sunflowers,277439,61700.9,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Sweet Corn,389363,86592.2,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Barley,117989,26240.1,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Durum Wheat,756,168.1,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Spring Wheat,6668311,1482996.7,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Winter Wheat,11977,2663.6,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Other Small Grains,13,2.9,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Rye,112266,24967.4,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Oats,366556,81520.1,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Millet,5821,1294.6,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Canola,195391,43453.9,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Flaxseed,2572,572.0,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Mustard,1036,230.4,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Alfalfa,5631079,1252321.8,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Other Hay/Non Alfalfa,1607235,357440.5,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Buckwheat,12290,2733.2,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Sugarbeets,1879765,418049.7,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Dry Beans,1174148,261124.2,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Potatoes,160590,35714.4,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Other Crops,57645,12819.9,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Misc Vegs & Fruits,642,142.8,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Onions,359,79.8,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Peas,238511,53043.6,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Hops,551,122.5,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Clover/Wildflowers,16129,3587.0,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Sod/Grass Seed,489372,108833.7,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Switchgrass,1768,393.2,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Fallow/Idle Cropland,1127112,250663.7,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Apples,2319,515.7,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Grapes,663,147.4,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Christmas Trees,2566,570.7,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Other Tree Crops,96,21.3,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Open Water,14238661,3166602.0,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Developed/Open Space,7315938,1627025.4,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Developed/Low Intensity,2922012,649839.8,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Developed/Medium Intensity,1354193,301165.3,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Developed/High Intensity,488395,108616.4,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Barren,498414,110844.6,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Deciduous Forest,31258646,6951755.5,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Evergreen Forest,4981721,1107908.1,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Mixed Forest,10805676,2403124.5,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Shrubland,1921938,427428.7,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Grass/Pasture,11976963,2663612.5,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Woody Wetlands,38302089,8518179.6,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Herbaceous Wetlands,25009884,5562064.3,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Triticale,4763,1059.3,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Carrots,2273,505.5,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Peppers,153,34.0,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Pumpkins,1176,261.5,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Dbl Crop Soybeans/Oats,20,4.4,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Dbl Crop Corn/Soybeans,57,12.7,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Cabbage,14,3.1,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Radishes,639,142.1,MN,0.0,0.0,94.38095238,44.61904762,0.0,28.9047619,1.80952381,144.047619,7.476190476,175.4285714,7.333333333,311.7142857,23.95238095,0.333333333,0.095238095,7.2,26.7,9.9,17.8,33.5,95.2
 Corn,233432,51914.0,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Cotton,578630,128684.2,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Sorghum,27555,6128.1,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Sunflowers,420,93.4,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Sweet Corn,288,64.0,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Mint,83,18.5,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Barley,45822,10190.6,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Durum Wheat,192801,42877.9,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Spring Wheat,4200,934.1,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Winter Wheat,59009,13123.3,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Rye,6585,1464.5,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Oats,41939,9327.0,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Millet,926,205.9,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Alfalfa,1996100,443922.0,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Other Hay/Non Alfalfa,125297,27865.4,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Sugarbeets,7478,1663.1,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Dry Beans,4899,1089.5,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Potatoes,13206,2936.9,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Other Crops,13086,2910.3,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Misc Vegs & Fruits,482,107.2,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Watermelons,7832,1741.8,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Onions,2766,615.1,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Chick Peas,5205,1157.6,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Peas,16,3.6,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Tomatoes,27,6.0,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Herbs,2240,498.2,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Sod/Grass Seed,20626,4587.1,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Fallow/Idle Cropland,2184285,485773.3,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Peaches,508,113.0,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Apples,2476,550.6,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Grapes,37658,8374.9,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Other Tree Crops,17994,4001.8,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Citrus,60729,13505.8,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Pecans,134393,29888.3,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Pears,76,16.9,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Open Water,592618,131795.1,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Developed/Open Space,3029887,673830.6,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Developed/Low Intensity,2369516,526967.7,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Developed/Medium Intensity,1560041,346944.8,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Developed/High Intensity,371640,82650.7,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Barren,8865985,1971747.6,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Deciduous Forest,60168,13381.0,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Evergreen Forest,44754567,9953176.1,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Mixed Forest,42597,9473.3,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Shrubland,241391990,53684286.3,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Grass/Pasture,17510554,3894253.5,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Woody Wetlands,1015787,225905.6,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Herbaceous Wetlands,171802,38207.8,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Pistachios,7769,1727.8,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Triticale,88777,19743.5,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
 Carrots,4465,993.0,AZ,5.769230769,0.230769231,238.3076923,75.15384615,0.0,47.30769231,0.0,219.7692308,3.384615385,35.61538462,103.1538462,242.5384615,94.23076923,13.30769231,5.846153846,2.9,46.8,2.3,4.7,37.2,93.9
